function	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
K08369	3387.0	2919.0	3529.0	3799.25	5002.5	15096.0	3234.0	3316.15	3861.25	2786.0	3015.0	3207.0	3452.0	5429.75	3537.67	3079.0	3891.75	3019.0	5197.0	6734.0	5609.2	10839.5	6424.75	3709.25	3795.75	4298.75	9187.75	3070.75	8285.5	5853.25	5002.0	3055.5	6465.25	9687.25	4822.0	7125.75	8493.0	5167.75
K08372	1971.0	5225.5	1938.0	3140.25	2391.5	21045.0	5598.0	4461.75	4160.25	3356.0	2383.5	3311.5	3600.0	4206.75	4097.67	3050.0	4046.75	3297.5	2456.0	4512.0	2906.5	7763.5	6172.75	3839.25	1290.75	6459.25	6391.25	3062.25	10909.5	6406.25	7852.5	3642.5	4707.25	7077.75	5553.0	9036.75	6538.0	8409.25
K08384	3012.33	1120.0	2796.25	3432.66	1698.0	6229.68	2736.17	1959.17	1388.75	3228.33	2763.74	3624.67	2228.5	2456.34	1416.67	1998.33	2753.83	2523.01	1806.51	4945.01	2694.25	4675.67	2838.34	5058.16	1253.0	2983.16	2986.16	2166.67	5423.84	1823.0	2181.0	3267.5	1144.5	3350.0	2635.75	4786.67	5242.01	1056.0
K08481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08483	8439.59	13136.25	10986.84	10822.5	12586.33	54153.59	11462.0	11350.119999999999	9088.33	11349.25	8991.75	10745.17	9942.92	16572.59	13151.34	11939.08	10559.84	9053.67	10889.51	13275.67	13376.43	17672.41	14798.25	17361.75	7003.75	13672.25	17757.0	8351.92	24953.34	12746.67	13192.84	10850.5	11466.0	18300.83	12346.33	17445.5	16990.58	12768.0
K08484	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
K08485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08589	0.0	0.0	61.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	37.0	0.0	0.0	0.0	0.0	173.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	35.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
K08591	7326.92	8343.75	9509.67	8067.91	10168.83	32972.43	7200.17	7384.54	5777.25	8531.75	7473.24	9288.67	7242.92	13081.01	9423.34	8639.08	7299.92	7297.18	8810.52	9440.18	11347.93	10866.08	9080.34	14610.83	5948.5	8577.66	12105.41	5595.17	15609.18	7138.92	5805.34	8198.0	6733.25	11794.58	7186.83	9500.42	13654.09	4321.75
K08600	1478.67	1056.0	1722.92	1640.0	1241.0	5461.34	2468.0	1923.0	771.8299999999999	1693.33	1553.17	2941.67	941.6700000000001	1933.0	2377.0	1121.67	1211.67	1357.0	1363.5	2111.0	978.25	1009.5	1095.0	4980.33	402.0	1431.0	809.0	850.6700000000001	2143.0	737.0	686.0	2419.67	472.0	952.0	434.5	1533.0	1733.0	305.0
K08602	3808.59	4180.75	4799.34	3891.25	3040.83	13588.59	3575.5	3782.67	2774.83	4799.75	3880.25	6500.17	3383.92	5100.34	2784.67	4312.08	2882.09	5324.17	3881.01	3457.17	5034.83	2075.91	2252.0	9110.0	2190.0	3574.0	3579.75	2527.67	7218.84	3111.42	1442.8400000000001	5747.0	1912.75	2545.08	2777.83	3198.75	7280.08	768.75
K08641	5070.0	4876.8	3177.25	4501.5	1702.0	17318.5	3774.5	4701.55	3923.0	5382.299999999999	5052.85	4505.35	3158.5	6620.4	3478.75	3441.8	4145.5	3351.25	4848.6	6458.25	3910.3999999999996	4395.75	4064.25	5663.5	2570.75	6151.25	5009.05	3002.75	5966.5	4418.25	3842.0	4427.950000000001	2737.8	10376.0	5037.1	3685.75	5569.5	605.0
K08643	127.25999999999999	510.75	368.09000000000003	222.25	1078.1599999999999	2060.25	401.0	325.84000000000003	266.0	263.09000000000003	328.83000000000004	360.25	281.41999999999996	831.01	755.34	599.08	175.76000000000002	407.84000000000003	381.02	43.34	269.90999999999997	131.07	270.5	474.84000000000003	288.5	122.0	34.75	132.0	342.68	448.59000000000003	334.18	425.83	124.75	125.91	204.41	65.75	330.90999999999997	149.75
K08651	205.0	346.5	197.5	198.5	0.0	262.0	245.5	56.5	188.0	217.5	447.0	472.5	212.0	88.0	0.0	58.0	97.0	64.0	220.0	549.5	213.0	266.0	175.5	180.5	134.0	334.5	448.0	331.5	571.5	67.0	0.0	257.5	179.5	238.0	175.0	57.0	141.0	34.0
K08659	317.17	624.0	606.34	354.0	547.0	1601.6800000000003	786.0	317.5	505.65999999999997	474.15999999999997	739.6700000000001	1309.34	423.67	733.6700000000001	455.0	351.0	434.67	673.0	612.5	520.0	342.5	353.5	418.5	818.16	290.0	711.5	272.0	560.84	710.5	420.0	258.0	652.6700000000001	152.0	303.0	118.5	486.0	971.0	155.0
K08676	294.5	344.5	246.0	277.5	47.5	512.5	347.5	166.0	335.5	155.0	312.0	369.5	120.5	255.0	0.0	193.0	213.0	0.0	350.0	344.5	243.5	354.5	664.0	76.0	68.5	839.0	441.0	582.5	338.5	105.0	53.0	221.5	215.0	251.0	344.0	96.0	64.5	302.0
K08677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08678	294.5	224.5	189.0	292.5	63.5	298.0	334.5	166.0	291.5	115.0	312.0	369.5	79.5	255.0	82.0	148.0	213.0	0.0	350.0	274.5	154.5	354.5	548.0	76.0	68.5	657.0	366.0	633.0	203.5	105.0	53.0	221.5	76.0	251.0	344.0	96.0	127.5	70.0
K08679	700.0	509.0	940.0	285.0	351.0	979.5	283.0	612.0	436.0	317.0	777.5	30.0	498.0	587.0	535.0	379.0	99.0	351.0	614.5	309.0	1344.0	0.0	189.0	557.0	544.0	245.0	797.0	325.5	730.0	279.0	153.0	286.0	372.0	178.0	401.0	112.0	533.5	50.0
K08680	1278.0	2328.0	1639.0	948.0	4496.0	8529.0	939.0	999.2	1223.0	1700.0	949.0	754.0	1228.0	4149.0	2984.0	2125.0	774.0	1060.0	1092.0	360.0	2460.1	432.0	960.0	2567.0	1316.0	1118.0	443.0	714.0	1796.0	1203.0	1299.5	945.0	678.0	949.0	829.0	390.0	1407.0	249.0
K08681	5706.92	5473.0	3036.92	5203.0	5812.83	15368.0	4063.75	4167.42	5241.75	5347.92	4530.58	5547.75	3298.75	6582.59	4170.42	4418.58	3920.67	3979.92	4532.01	8001.42	4136.58	5874.66	4868.5	7551.17	2855.5	5620.5	5592.25	3529.7	6413.84	5618.42	3600.84	6024.58	4000.5	4492.33	3911.58	5080.5	10346.58	2945.0
K08682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0
K08688	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08691	0.0	0.0	0.0	3.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08693	37.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	23.0	0.0	0.0	0.0	34.0	0.0	146.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08717	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	68.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08720	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08722	1468.83	2112.5	1576.33	1399.1599999999999	1718.0	7396.34	1354.17	1130.8700000000001	963.4200000000001	2002.5	1530.2400000000002	2053.5	1666.5	2592.17	1131.67	1432.0	1288.83	1560.0100000000002	1119.01	1450.51	2344.1	1113.67	1445.3400000000001	3432.33	829.0	2024.1599999999999	427.65999999999997	1092.0	2889.84	1389.0	1245.0	1830.0	673.0	1342.0	742.75	1480.6699999999998	2491.01	219.0
K08723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08724	214.0	329.0	319.0	79.0	644.0	1196.0	120.0	224.0	94.0	371.0	34.5	221.0	222.0	317.0	395.0	177.0	146.0	65.0	435.0	147.0	86.0	29.0	38.0	811.5	71.0	36.0	37.0	26.0	273.0	53.0	44.0	245.0	118.0	49.0	112.0	126.0	81.0	37.0
