function	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
K00001	150.67000000000002	601.0	538.0	409.25	724.5	2456.5	361.0	402.75	970.25	214.0	299.67	226.0	364.67	849.0799999999999	1571.0	469.67	242.42000000000002	447.0	905.0	63.5	482.0	841.0	475.75	501.25	253.75	97.0	722.75	533.0	362.5	584.25	933.0	190.67000000000002	1098.25	335.25	360.0	101.75	480.0	1283.75
K00002	58.0	73.0	343.0	58.0	49.0	195.5	45.0	197.0	89.0	166.0	60.0	0.0	221.0	232.0	0.0	0.0	0.0	0.0	111.0	41.0	389.0	0.0	0.0	210.0	90.0	32.0	102.0	50.5	139.0	0.0	0.0	64.0	46.0	53.0	114.0	0.0	0.0	0.0
K00003	9073.92	11450.25	10064.67	11255.16	9789.33	48312.09	11568.17	11117.42	8734.67	10758.42	9025.74	11523.75	9591.92	14083.09	11466.01	10407.08	10398.67	10381.68	10673.35	14081.18	11913.33	18561.58	14259.26	18190.75	6363.25	13362.41	18139.16	8375.75	24825.68	12849.17	12759.34	11138.5	11057.17	18274.33	12015.83	18010.17	18617.09	12548.0
K00004	1032.67	2310.0	1570.0	2030.0	2177.0	9069.0	1511.0	2098.0	1687.0	1818.0	1342.67	2350.0	1406.67	2597.33	1519.0	3361.67	1224.67	2553.0	1490.0	1002.0	907.0	1358.5	2528.0	3573.0	759.0	1393.0	1291.0	1937.75	2726.0	2246.0	1623.0	2271.67	1090.0	1800.0	1635.0	1543.0	3188.0	1125.0
K00005	2970.33	2571.0	2737.33	3722.66	3206.0	10176.67	2610.67	2558.87	2366.42	3477.0	2414.33	4449.0	2068.67	3411.5	2508.34	3993.67	2041.0	4267.01	1590.3400000000001	3483.01	1459.1	2201.17	2161.34	6962.66	1054.0	2534.66	1455.6599999999999	1452.67	4078.34	2630.0	1273.0	4349.0	980.0	1396.0	1881.0	3096.67	5968.01	522.0
K00007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	819.0	843.5	812.1700000000001	903.0	528.0	1891.5	1227.0	690.3299999999999	239.5	698.0	986.25	1805.5	721.5	832.5	566.0	387.0	1051.5	759.0	585.8299999999999	2258.5	743.5	1596.0	1097.67	855.5	282.5	1299.5	886.5	708.5	2011.5	313.5	285.0	1175.5	547.6700000000001	1438.0	483.75	1552.5	967.0	947.0
K00009	1037.0	638.0	1177.0	1576.0	210.0	2085.0	1375.0	603.2	474.0	1469.0	1310.0	1663.0	1393.0	1080.0	460.0	677.0	2041.0	983.0	583.0	2582.0	1405.1	3833.0	1806.0	1116.0	695.0	1955.0	1964.0	592.0	3565.0	977.0	1656.0	1312.0	542.0	2187.0	2129.0	3603.0	3480.0	934.0
K00010	1969.0	2905.0	729.67	1589.0	1971.0	4769.0	2086.0	2419.33	2320.0	1171.0	1197.0	1705.0	1429.0	2380.0	1675.0	2114.0	1609.0	1286.0	1422.33	5022.0	2325.0	5838.0	3366.67	1543.0	1173.0	2789.0	3138.0	2130.0	5574.0	3807.0	3480.0	1837.0	3886.67	3565.0	2898.0	3375.0	4652.0	5465.0
K00012	10217.0	11335.6	8128.42	10628.75	6278.5	44214.5	10382.5	11481.029999999999	9126.75	11090.099999999999	9568.7	9274.95	8492.5	13526.05	10778.42	8714.6	9089.25	8429.75	9600.28	13286.25	10018.1	13713.25	11641.67	15061.25	5442.0	13404.25	14873.6	7489.2	20096.0	11208.0	12563.5	10042.650000000001	9131.02	19511.75	12059.45	13250.0	13201.0	10554.25
K00013	7999.67	12303.0	10699.5	9979.75	10246.5	46191.0	10449.0	9658.95	9103.25	9733.5	8834.42	9794.0	9896.17	15012.58	12358.67	10108.67	9787.42	9296.5	9047.5	11491.5	13621.1	17094.0	13647.75	14669.75	6820.25	13269.5	17321.25	7724.95	22082.5	12253.75	12717.5	9432.17	10366.75	16752.25	12154.75	16405.75	17635.5	11701.25
K00014	16789.42	24500.55	18358.92	18970.41	16813.829999999998	97147.09	21151.17	21075.72	17056.42	20935.22	17821.59	18854.1	17742.42	29466.239999999998	22475.760000000002	18218.879999999997	18609.92	16766.43	18743.199999999997	23190.93	23126.230000000003	27622.83	24042.760000000002	30084.0	11415.75	26661.16	28607.96	14238.95	40229.68	23353.67	24395.84	19013.949999999997	17544.72	35406.08	22644.43	28899.67	30940.59	19536.25
K00015	785.0	173.0	387.0	699.0	1462.0	2078.0	292.0	299.0	320.0	764.0	237.0	656.0	342.0	818.0	385.0	790.0	207.0	1060.0	511.0	394.0	424.0	431.0	345.0	1504.0	442.0	148.0	351.0	791.0	935.0	472.0	373.0	833.0	248.0	662.0	168.0	381.0	666.0	38.0
K00016	6834.42	9054.25	5881.0	8207.32	7344.33	34325.43	10140.34	8013.09	6177.34	7952.42	7079.9	9125.0	7408.09	9545.59	7460.68	7593.42	8330.67	7192.6900000000005	6224.860000000001	12316.19	6637.83	13367.75	10970.1	12106.08	3545.25	11451.57	10429.82	6901.25	20492.52	9340.17	10746.34	8988.17	6736.17	11782.83	9479.83	15030.34	14215.6	10433.0
K00018	9887.0	9840.3	10143.0	9493.0	9039.5	34929.0	7009.0	8749.85	7194.0	10086.800000000001	9529.599999999999	9797.099999999999	7194.5	14659.4	7555.75	8195.8	8589.0	8324.25	9539.35	11162.25	11942.05	10713.25	8784.25	13653.0	7273.25	9985.0	13650.05	4803.95	14167.0	8010.25	5869.5	9437.45	6610.299999999999	12954.0	8057.85	9302.25	13169.5	2754.0
K00019	216.5	613.0	462.5	254.5	26.0	1122.5	92.5	382.0	324.0	155.0	310.5	154.5	268.5	294.0	819.0	141.0	266.0	87.0	923.5	94.5	639.0	421.5	415.0	405.0	186.0	150.5	953.5	314.0	250.5	159.0	524.0	148.0	1077.0	418.5	293.0	70.5	256.0	995.0
K00020	3702.0	6299.5	4314.17	4790.0	2159.0	22309.5	6811.0	5081.33	4162.0	5079.5	4193.5	5407.0	5070.5	5370.5	5820.0	3741.0	6097.5	4268.5	3790.33	7225.0	5351.5	11125.0	7800.67	5596.0	1900.5	8897.5	9690.0	4081.75	14067.5	5924.5	9041.5	5016.0	5410.67	9706.5	7573.5	11867.5	9840.0	9114.5
K00021	156.0	260.0	351.0	101.0	116.0	781.0	178.0	318.0	100.0	52.0	104.0	103.0	240.0	291.0	229.0	114.0	117.0	0.0	156.0	216.0	311.0	534.0	500.0	101.0	77.0	631.0	1167.0	66.0	1165.0	103.0	232.0	69.0	127.0	466.0	212.0	96.0	106.0	368.0
K00023	158.0	464.0	271.0	173.0	26.0	941.0	7.0	327.0	286.0	24.0	62.0	0.0	175.0	229.0	753.0	141.0	177.0	87.0	732.0	0.0	479.0	374.0	317.0	180.0	83.0	13.0	712.0	27.0	229.0	157.0	528.0	0.0	1063.0	299.0	293.0	57.0	136.0	995.0
K00024	11020.0	15353.3	11389.92	11418.75	10570.5	57321.5	12748.5	12928.630000000001	11197.75	12560.300000000001	11774.849999999999	10654.349999999999	11407.5	19697.15	14505.42	10316.8	12439.25	9494.75	13158.68	16432.25	16077.900000000001	20843.25	16630.17	14567.75	8604.5	17896.5	21438.8	9387.7	24959.0	15245.5	16218.0	10344.45	12642.72	26707.75	15773.1	18512.5	20287.0	12614.25
K00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	6251.83	5826.0	5706.92	8063.91	4880.5	19069.18	6529.17	5977.95	4805.0	7563.33	5894.24	8614.17	5124.5	7267.59	4233.67	6662.33	5978.08	5799.01	5335.84	10600.01	6043.35	10252.67	6358.26	13425.91	3141.25	6913.91	7062.91	5145.42	14231.84	5598.75	5041.0	8172.5	4641.92	7595.75	5889.25	9042.42	10560.51	5266.75
K00029	7238.5	8407.3	8131.25	5745.0	7363.5	27970.0	5354.0	6642.55	6223.5	6887.299999999999	7076.35	5740.85	5577.0	12527.4	7693.75	5392.8	6035.5	5272.25	9870.85	7516.25	11028.900000000001	7102.25	7443.25	8234.5	6241.25	7829.5	12668.05	4930.95	8766.0	6061.25	4906.0	5423.450000000001	7278.799999999999	11001.0	5898.1	4995.75	9884.5	4037.0
K00030	938.0	1461.0	1258.0	1818.0	565.0	4884.0	795.0	1321.0	1070.0	1721.0	916.0	1899.0	814.0	1337.0	861.0	2201.0	943.0	1804.0	438.0	862.0	597.0	867.0	852.0	3437.0	360.0	820.0	610.0	308.0	1827.0	1274.0	457.0	1942.0	451.0	561.0	971.0	1133.0	1585.0	222.0
K00031	5178.17	8168.05	8363.25	6849.25	5896.5	38217.75	8229.25	8267.8	6434.25	5915.299999999999	6423.02	4741.85	6997.17	10107.48	9299.67	5873.969999999999	6538.42	5862.5	8104.85	7498.0	9798.400000000001	12017.0	10488.75	9413.5	4736.25	8766.25	14627.05	5695.95	16234.5	8493.75	9572.0	5113.370000000001	9270.05	13468.25	8432.35	11605.5	9591.0	10820.25
K00033	6739.42	11631.25	8613.17	8261.66	11929.83	49774.09	9773.17	9412.119999999999	8536.92	8843.42	7433.99	7248.75	9440.42	15608.59	13618.01	9058.75	8804.67	6286.68	8865.35	12158.68	12097.43	18935.08	13988.26	11494.25	6153.25	13778.66	15942.16	7520.75	21823.18	13077.67	14368.84	6869.0	10038.67	22592.33	12915.58	15939.67	14593.09	10891.0
K00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	32.0	0.0	0.0	0.0	0.0	8.5	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00036	5415.09	11145.75	7540.34	6641.0	11895.83	49391.25	8152.5	9140.45	7890.25	7310.42	5708.0	5075.75	8200.92	14912.42	14147.34	8585.75	7010.84	5346.67	8890.34	8624.17	10599.93	15293.41	12571.42	10752.42	5654.75	11054.0	14388.5	6623.0	18375.34	12149.17	13379.84	5336.5	10409.67	21021.33	11088.08	12537.5	10700.08	11389.0
K00038	0.0	86.0	0.0	103.0	75.0	0.0	0.0	57.0	308.0	64.0	0.0	0.0	2.0	66.0	134.0	0.0	25.0	0.0	78.0	0.0	0.0	365.0	0.0	57.0	0.0	0.0	72.0	66.0	79.0	57.0	131.0	0.0	93.0	0.0	0.0	0.0	0.0	150.0
K00039	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00040	1298.0	1024.0	822.1700000000001	1176.5	691.0	2549.5	1310.5	1222.03	586.0	951.0	1679.25	2272.5	538.0	1069.0	906.0	448.0	903.5	880.0	992.8299999999999	2533.5	586.1	1583.5	1128.17	2017.5	615.0	1205.5	1331.5	951.5	1768.5	426.0	299.0	1873.5	492.17	1037.5	661.75	1066.5	1174.0	296.0
K00041	790.5	442.5	637.25	674.5	202.0	1995.0	951.5	1024.2	434.0	754.5	1224.75	1595.5	316.0	694.0	571.0	390.0	551.0	714.0	554.5	1267.5	390.35	466.0	860.0	1732.5	486.0	509.75	735.0	350.2	971.0	366.0	180.0	1512.5	189.5	484.0	486.75	756.0	934.0	84.0
K00042	995.0	1258.5	1250.17	1273.0	55.0	1666.5	1210.0	727.73	567.0	1021.0	1205.0	1230.0	1299.5	920.5	616.0	680.0	1615.5	429.0	718.3299999999999	2192.5	1926.7	3447.0	1579.17	668.5	822.5	1504.0	2314.0	783.5	3825.5	784.5	1667.0	768.5	911.67	2388.0	2079.5	2484.5	1178.0	1013.0
K00045	1093.0	1192.0	268.67	784.0	1154.0	2123.0	960.0	1243.33	1033.0	448.0	616.0	932.0	545.0	1233.0	1013.0	1010.0	791.0	668.0	661.3299999999999	2501.0	970.0	3001.0	1568.67	664.0	614.0	1248.0	1498.0	1072.75	2464.0	1743.0	1600.0	913.0	1644.67	1891.0	1340.0	1602.0	2235.0	2381.0
K00046	1742.5	1462.0	1459.0	1483.5	510.0	3362.5	1911.5	1996.0	1252.5	1721.5	1770.25	2634.0	936.5	1250.5	1079.0	835.0	1256.5	828.0	1552.5	2794.5	1874.0	1549.0	1811.5	2860.0	1128.5	1584.25	1938.5	1195.7	3106.5	1402.5	680.0	2370.5	857.5	1300.0	1324.25	1608.0	1831.0	943.0
K00048	2623.0	2558.0	2044.0	3605.0	5386.0	10409.0	2312.5	2901.2	2389.75	3043.0	1828.25	3930.5	1634.0	4640.5	3948.0	4550.0	2128.5	3350.0	1533.0	2441.5	1391.1	1968.0	2076.0	6447.0	1740.0	1457.0	1900.0	839.5	4715.0	2585.0	1367.0	4016.0	1709.0	1731.0	2195.75	2616.5	3149.0	1216.0
K00050	741.0	733.0	1136.0	1116.0	74.0	2198.0	961.0	751.0	634.0	1067.0	865.0	795.0	1239.0	1154.0	1093.0	710.0	1687.0	420.0	1271.0	1582.5	2025.0	3415.0	1631.0	812.0	824.0	1176.0	2529.0	769.0	2915.0	807.0	2180.0	568.0	1509.0	2697.0	2008.0	2456.0	1161.0	1857.0
K00052	9346.59	13755.75	11877.59	11366.0	12122.83	51993.75	12031.0	11554.45	10129.5	10930.92	10004.25	11274.25	10660.42	17256.92	13781.34	11149.75	10904.84	10175.67	11215.34	14039.67	14965.68	19110.91	15505.92	16746.92	7456.25	14846.0	18924.0	9179.45	24180.34	13681.67	13744.84	10741.0	11427.67	18869.83	13152.33	17958.5	18960.58	12677.0
K00053	10033.59	14068.75	11945.59	11823.0	12428.83	53022.75	12506.0	12312.45	10506.5	11484.92	10705.25	12380.25	10828.42	17899.92	13749.34	11497.75	11302.84	10751.67	11323.34	14665.67	14962.68	19506.91	16131.92	17377.92	8083.25	15251.0	19422.0	8620.45	24466.34	13942.67	13866.84	12036.0	11690.67	18839.83	13497.33	18271.5	20085.58	12677.0
K00054	1724.59	3205.3	2931.92	3241.25	2639.83	13016.0	1855.25	2650.52	1933.0	2778.2200000000003	2211.1	2752.6	1553.42	4178.57	2476.67	3544.05	1822.0900000000001	3849.17	2486.36	826.1700000000001	1290.13	853.41	1308.5	4507.92	1070.5	1074.0	998.05	592.0	2881.34	1704.92	893.84	2592.2	1496.5500000000002	954.5799999999999	1294.6799999999998	1649.5	2475.58	486.75
K00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00057	15434.42	19350.55	15633.26	16609.16	15414.329999999998	73318.93	16458.17	17111.300000000003	14111.5	17650.55	15595.09	16873.52	14244.42	24964.66	18207.760000000002	15452.88	15433.67	13961.93	17113.03	21768.43	19109.730000000003	23942.83	19330.68	25333.58	10400.5	21330.91	24206.71	12277.869999999999	32377.18	18110.92	17685.84	16224.949999999999	14638.64	29517.83	18004.43	21986.92	25185.59	13559.0
K00058	16954.83	20075.35	17561.17	19118.41	12504.5	72049.59	18380.92	18379.980000000003	14311.92	19580.600000000002	18069.690000000002	18724.449999999997	15456.5	24270.22	17636.09	16184.43	17347.08	15638.76	15387.87	25472.260000000002	19810.7	25284.42	18863.18	26695.33	9068.5	23514.91	22032.260000000002	10937.2	36745.84	17188.5	17996.0	17455.15	13237.189999999999	26948.25	19036.45	25371.42	26819.010000000002	13345.25
K00059	22979.67	31256.35	26406.760000000002	27841.57	23017.16	110811.69	25045.84	27673.66	25277.25	26721.350000000002	25778.6	26628.54	22230.34	38986.07	28311.1	24600.93	24445.09	22385.11	31703.9	30510.86	31856.11	38563.41	32418.85	40947.240000000005	16911.5	31581.82	42628.42	21748.91	46082.86	27916.34	26677.18	25592.480000000003	28244.02	45828.16	27134.61	30516.09	40763.93	24441.75
K00060	383.0	858.0	516.0	260.0	124.0	616.0	405.0	382.2	656.0	323.0	324.0	326.0	355.0	603.0	129.0	139.0	101.0	393.0	273.0	382.0	559.1	703.0	200.0	404.0	126.0	583.0	345.0	584.0	514.0	478.0	132.0	502.0	565.0	721.0	424.0	179.0	1442.0	986.0
K00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0
K00065	250.0	0.0	103.0	292.0	269.0	616.0	65.0	313.2	16.75	372.0	37.0	301.0	57.0	317.5	32.0	351.0	114.0	157.0	260.0	272.0	168.1	59.0	0.0	469.0	141.0	132.0	133.0	0.0	25.0	0.0	0.0	429.0	284.0	96.0	78.0	0.0	215.0	0.0
K00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00067	10914.17	10711.8	11983.67	12264.5	7194.0	44819.0	8813.0	10853.68	8689.25	11533.8	11173.77	10897.099999999999	8898.67	16466.73	10059.75	9989.47	10465.17	8281.75	12776.68	16070.25	14498.05	16037.75	11715.92	17044.5	7227.25	12288.0	15752.55	8326.7	18068.5	10636.75	8076.5	10380.119999999999	9515.47	24682.0	11266.35	12575.75	15301.5	4846.5
K00068	1068.5	716.5	978.0	1724.0	105.0	1665.5	1710.0	590.7	470.0	1410.5	1274.0	1641.0	1432.5	1209.0	422.0	677.0	2203.0	1032.0	505.5	2935.0	1524.6	4037.5	1900.0	804.0	724.0	2404.0	2127.5	728.5	3925.0	1003.0	1929.0	1300.0	624.5	2231.5	2068.0	3955.0	3544.0	1165.0
K00073	34.0	87.0	40.0	32.0	28.0	50.0	14.0	0.2	0.0	49.0	0.0	43.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
K00074	2287.5	2381.5	2834.5	3018.25	1478.5	8324.0	2722.0	3214.95	2457.25	2880.0	2628.75	2960.25	1493.5	3057.75	3050.0	2063.0	1783.75	1325.0	3625.5	3011.5	2807.6	2707.5	1550.25	6371.25	1120.25	1633.75	2705.75	1268.75	4793.5	1168.75	1269.0	2965.0	2793.25	1512.25	1256.25	1934.75	1717.0	1864.75
K00075	15407.75	19304.55	16164.92	16514.82	14925.329999999998	73132.27	16869.84	17293.64	14188.67	17845.55	15823.079999999998	17439.02	14834.42	24833.33	17773.43	15511.88	15549.0	14089.94	17272.21	21459.440000000002	19805.730000000003	23473.5	19466.85	25546.91	10529.5	21656.07	24541.87	12357.869999999999	32962.520000000004	18172.92	17668.84	16607.949999999997	14702.97	29723.83	18244.43	22169.59	25963.6	13381.0
K00076	888.0	444.0	969.0	224.0	168.0	929.0	607.0	521.2	561.0	551.0	828.5	1013.0	631.0	817.0	347.0	168.0	313.0	1255.0	482.5	412.0	1465.1	190.0	193.0	957.0	497.0	714.0	806.0	292.0	805.0	681.0	323.0	842.0	232.0	265.0	536.0	332.0	2149.5	62.0
K00077	4032.0	6496.25	5583.0	5272.25	2288.5	23678.25	7327.25	5867.45	5256.75	6124.0	5688.75	7068.0	4787.0	5694.75	5785.75	3674.5	5615.75	4655.75	5035.25	8219.25	6564.6	7645.25	7455.5	8355.5	2313.0	8320.0	8853.0	4647.0	12269.0	6142.5	6869.5	6285.25	4703.25	7214.25	7114.5	10533.25	9508.5	7513.25
K00086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00087	349.0	287.5	353.25	426.5	167.0	939.0	513.0	438.7	204.0	376.5	431.5	502.0	135.0	412.0	535.0	203.0	202.5	150.0	227.5	572.0	244.35	40.0	82.5	1279.5	144.0	105.5	272.0	262.0	193.5	152.0	139.0	500.5	97.5	46.0	132.5	101.5	260.0	102.0
K00088	18040.67	25599.8	17676.760000000002	20182.66	18391.33	96416.18	22497.17	22537.550000000003	19091.25	21274.3	18395.089999999997	20207.769999999997	18112.17	29957.41	22888.43	19603.629999999997	19820.17	17685.93	19963.03	27651.43	22714.230000000003	33611.58	26813.43	29649.33	12219.75	28182.66	31677.21	15942.869999999999	45124.68	26238.42	27024.84	20285.949999999997	20975.64	38014.83	24863.18	32037.42	33353.84	24416.0
K00090	0.0	0.0	163.0	3.0	0.0	99.0	0.0	36.2	0.0	0.0	0.0	0.0	0.0	0.0	39.0	8.0	0.0	0.0	79.0	0.0	380.1	15.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	2.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0
K00091	0.0	0.0	0.0	36.0	48.0	174.0	99.0	0.0	0.0	72.0	73.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	26.0	12.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K00094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00096	850.0	768.0	110.34	519.0	1051.0	1135.0	565.0	377.65999999999997	184.0	147.0	160.0	640.0	120.0	861.0	760.0	47.0	563.0	256.0	362.65999999999997	2069.0	326.0	1823.0	436.34000000000003	150.0	118.0	1287.0	532.0	441.0	1011.0	94.0	523.0	249.0	440.34000000000003	467.0	0.0	832.0	173.0	819.0
K00097	6529.5	7090.8	6557.75	6522.5	4664.0	28788.5	5135.0	6809.049999999999	5636.0	6651.799999999999	7328.85	5315.85	5282.0	10300.9	6782.75	5535.8	6024.0	4239.25	9298.35	9191.25	8536.400000000001	8692.25	7957.75	8852.5	5314.25	7714.5	11393.55	5404.95	10742.5	6721.75	5220.0	5153.950000000001	6858.799999999999	16556.5	7208.1	6455.75	8143.5	2838.0
K00098	384.0	320.0	5.67	228.0	489.0	299.0	133.0	167.32999999999998	80.0	13.0	80.0	303.0	0.0	359.0	335.0	0.0	208.0	102.0	148.32999999999998	809.0	0.0	804.0	107.67	43.0	59.0	386.0	191.0	200.0	195.0	34.0	125.0	101.0	112.67	228.0	0.0	240.0	57.0	178.0
K00099	12515.83	15054.25	11647.25	12047.91	12137.5	58003.59	13418.92	13435.45	11650.17	13970.0	12437.99	13023.25	11387.0	19248.42	14796.09	11211.5	11785.58	9677.76	13999.84	18483.760000000002	16344.85	18748.42	16073.51	20182.33	8503.0	18141.91	20212.66	11161.2	25312.84	15619.0	14779.0	12966.75	12408.42	25838.25	14734.75	17602.42	21522.010000000002	11614.25
K00100	7206.83	4305.0	6686.0	5937.16	3851.0	15512.68	7688.67	6315.67	4005.5	7387.33	6686.99	9859.67	4946.0	7401.84	4113.67	6078.33	6075.33	6582.01	5519.01	9301.51	7985.5	7238.17	5094.84	12054.66	3659.0	8599.41	7319.66	4472.42	12475.34	4567.0	3943.5	8452.5	3339.5	7148.5	5859.5	7646.67	12426.51	2018.0
K00101	2868.0	5808.05	5030.92	4523.25	5651.5	33083.75	5480.25	5960.63	4621.75	3752.7999999999997	3718.1000000000004	2891.35	4363.0	7784.65	6482.0	4349.299999999999	4960.75	4456.5	5943.68	4854.0	6756.900000000001	10531.5	8786.92	4508.0	3431.75	6390.75	11058.05	4261.5	10958.5	7260.25	8342.0	2947.2000000000003	7322.719999999999	11647.75	6367.6	9841.5	6446.5	8064.25
K00102	65.0	179.0	271.0	134.0	26.0	915.0	7.0	199.0	286.0	24.0	62.0	0.0	175.0	229.0	677.0	141.0	177.0	87.0	693.0	0.0	491.0	374.0	290.0	156.0	49.0	0.0	633.0	23.0	68.0	157.0	526.0	0.0	1001.0	299.0	239.0	57.0	136.0	945.0
K00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00104	2008.0	1075.0	1853.92	2221.0	400.0	2504.0	2190.0	1034.53	2339.0	1675.0	1862.5	2292.25	1333.0	1573.0	1559.0	474.0	1103.0	1971.0	2038.33	3755.5	2906.35	2933.0	1572.67	3193.0	589.0	2908.0	2628.0	1556.0	2070.0	1810.0	1124.0	1899.0	1724.67	1191.0	1224.0	1572.0	5687.0	1329.0
K00105	112.59	379.75	322.42	170.25	794.83	1677.25	320.0	223.17	266.0	153.42000000000002	296.5	249.25	237.42000000000002	663.6700000000001	634.6700000000001	456.75	87.09	327.17	273.01	21.67	169.57999999999998	104.41	230.5	373.17	253.5	72.0	34.75	132.0	282.34000000000003	350.92	301.84000000000003	285.5	99.75	92.58	169.07999999999998	65.75	248.58	149.75
K00108	158.0	550.0	271.0	293.25	147.5	996.0	7.0	404.95	605.25	88.0	62.0	0.0	177.0	333.75	911.0	149.0	206.75	87.0	827.0	0.0	491.1	803.5	326.75	246.25	103.75	20.75	809.75	101.75	325.5	235.25	677.0	0.0	1198.25	304.25	303.0	66.75	136.0	1196.75
K00111	6253.0	10180.0	5972.84	6514.0	6854.0	35321.09	8873.75	7703.23	6565.83	7161.58	6667.0	7677.67	6063.5	10308.67	8905.0	6444.0	6771.5	5582.5	6941.33	9306.75	8159.2	10511.0	9180.17	10294.58	3640.5	10375.0	10848.5	5590.42	17753.5	8429.5	9922.0	7518.5	7364.67	9810.75	7976.25	11375.5	10681.25	10537.5
K00112	2597.0	3103.0	1875.0	1190.0	3360.0	8029.25	1876.75	1409.7	1505.5	1865.25	1955.75	2274.25	1267.0	4253.5	2689.0	1995.0	1601.0	1565.0	1695.0	2650.75	2978.1	703.0	1647.0	2030.25	1502.0	2528.25	1161.0	936.0	2685.0	1412.0	1419.5	1874.5	731.0	882.25	1371.5	1461.0	3166.25	800.0
K00113	2597.0	3103.0	1875.0	1190.0	3360.0	8029.25	1876.75	1409.7	1505.5	1865.25	1955.75	2274.25	1267.0	4253.5	2689.0	1995.0	1601.0	1565.0	1695.0	2650.75	2978.1	703.0	1647.0	2030.25	1502.0	2528.25	1161.0	936.0	2685.0	1412.0	1419.5	1874.5	731.0	882.25	1371.5	1461.0	3166.25	800.0
