	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
3652572d664048574440c9c44d92c91f	0.0	4.0	0.0	0.0	0.0	46.0	13.0	7.0	0.0	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	14.0	7.0	0.0	19.0	16.0	0.0	27.0	0.0	19.0	0.0	0.0	20.0	16.0	22.0	13.0	20.0
d6ff6d76aa5bb505c57f6a0f77169c83	0.0	0.0	49.0	0.0	0.0	84.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
01ffb79211079bffb73c8367e5f6eb7f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
299ce4398498a8224eca2005796fdd51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	25.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	34.0
55726ff3f8e29b7a2c53e0d42ab311b6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	30.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0
d65b490e7ef583bc3128725ae2887784	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	106.0
86699dc60e9e36daeaf497f7100b70a8	0.0	0.0	0.0	0.0	0.0	55.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76bd88059d82a56863d842ad259e14b4	0.0	61.0	0.0	52.0	0.0	63.0	0.0	0.0	24.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d1da4422454b6d4c3f250871bc31b69	0.0	29.0	58.0	0.0	0.0	41.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0343d54131e67c6f68ae732f096f6c56	0.0	0.0	0.0	0.0	0.0	101.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
